time,REWS
0.0,19.762859
0.25,19.712809
0.5,19.67897
0.75,19.650944
1.0,19.554449
1.25,19.565928
1.5,19.549635
1.75,19.527113
2.0,19.493853
2.25,19.450005
2.5,19.427851
2.75,19.476198
3.0,19.451595
3.25,19.428537
3.5,19.378082
3.75,19.339651
4.0,19.282328
4.25,19.218758
4.5,19.185688
4.75,19.130661
5.0,19.140259
5.25,19.097261
5.5,19.103815
5.75,19.011221
6.0,18.942806
6.25,18.895567
6.5,18.808348
6.75,18.738295
7.0,18.656204
7.25,18.599726
7.5,18.575415
7.75,18.525129
8.0,18.498659
8.25,18.469084
8.5,18.366421
8.75,18.273184
9.0,18.219433
9.25,18.175167
9.5,18.114523
9.75,18.127357
10.0,18.168613
10.25,18.13393
10.5,18.077452
10.75,18.079153
11.0,18.022497
11.25,17.967339
11.5,17.91465
11.75,17.922501
12.0,17.943857
12.25,17.980743
12.5,18.002775
12.75,18.105387
13.0,18.1374
13.25,18.096807
13.5,18.091108
13.75,18.099304
14.0,18.118399
14.25,18.173409
14.5,18.187742
14.75,18.203737
15.0,18.182117
15.25,18.204887
15.5,18.213537
15.75,18.25964
16.0,18.277393
16.25,18.254736
16.5,18.240755
16.75,18.271105
17.0,18.267242
17.25,18.304625
17.5,18.301607
17.75,18.253653
18.0,18.225306
18.25,18.209433
18.5,18.19636
18.75,18.141088
19.0,18.128828
19.25,18.09403
19.5,18.093674
19.75,18.076239
20.0,18.080839
20.25,18.073578
20.5,18.077883
20.75,18.02342
21.0,18.044378
21.25,18.03282
21.5,18.019495
21.75,17.99231
22.0,17.993999
22.25,17.972227
22.5,18.031746
22.75,18.091093
23.0,18.149626
23.25,18.172638
23.5,18.219976
23.75,18.174915
24.0,18.188429
24.25,18.240917
24.5,18.197355
24.75,18.199282
25.0,18.219961
25.25,18.228075
25.5,18.22781
25.75,18.271732
26.0,18.307827
26.25,18.387905
26.5,18.404522
26.75,18.367115
27.0,18.338682
27.25,18.355576
27.5,18.351448
27.75,18.335716
28.0,18.332651
28.25,18.351868
28.5,18.337006
