prediccion,test
16.849646,16.908
16.848742,16.909
16.847786,16.91
16.846825,16.91
16.846756,16.911
16.845854,16.912
16.845793,16.913
16.84489,16.914
16.843935,16.915
16.842974,16.915
16.84201,16.916
16.841942,16.917
16.84104,16.918
16.840086,16.919
16.839123,16.92
16.838161,16.92
16.837198,16.921
16.836235,16.922
16.835274,16.923
16.83431,16.924
16.833347,16.925
16.832386,16.926
16.832315,16.926
16.831415,16.927
16.83046,16.928
16.829498,16.929
16.829428,16.93
16.828527,16.931
16.827572,16.932
16.827503,16.933
16.826603,16.934
16.82654,16.935
16.82653,16.935
16.82564,16.936
16.824686,16.937
16.824615,16.938
16.824606,16.939
16.823713,16.94
16.823652,16.941
16.822752,16.942
16.82269,16.945
16.82179,16.949
16.821726,16.952
16.820827,16.956
16.820765,16.959
16.819866,16.963
16.819801,16.966
16.818903,16.97
16.81884,16.973
16.817942,16.977
16.817877,16.98
16.81787,16.984
16.81787,16.987
16.817867,16.991
16.81787,16.994
16.816978,16.998
16.816916,17.001
16.816906,17.005
16.816906,17.008
16.816906,17.012
16.816906,17.012
16.816906,17.012
16.816906,17.012
16.816015,17.012
16.815952,17.013
16.815945,17.013
16.815943,17.013
16.815943,17.013
16.815943,17.013
16.815943,17.013
16.815943,17.013
16.815943,17.014
16.815943,17.014
16.815943,17.014
16.815943,17.014
16.815943,17.014
16.815943,17.014
16.815943,17.014
16.815943,17.015
16.815943,17.015
16.815943,17.013
16.816833,17.012
16.816896,17.011
16.817795,17.009
16.81786,17.008
16.818758,17.006
16.81882,17.005
16.81883,17.004
16.819721,17.002
16.819784,17.001
16.820683,16.999
16.820747,16.998
16.821646,16.997
16.8226,16.995
16.82267,16.994
16.82357,16.992
16.823633,16.991
16.824533,16.99
16.824596,16.988
16.825497,16.987
16.82556,16.99
16.826458,16.994
16.82652,16.998
16.827421,17.001
16.827484,17.005
16.828384,17.009
16.828447,17.012
16.828455,17.016
16.829348,17.02
16.829409,17.023
16.829416,17.027
16.829418,17.03
16.829418,17.034
16.83031,17.038
16.830372,17.041
16.831272,17.045
16.831335,17.049
16.832235,17.052
16.832298,17.056
16.833197,17.06
16.83326,17.059
16.83416,17.058
16.834223,17.057
16.835123,17.056
16.836079,17.055
16.83704,17.055
16.83711,17.054
16.83801,17.053
16.838966,17.052
16.83993,17.051
16.840893,17.051
16.842749,17.05
16.843773,17.049
16.844744,17.048
16.845707,17.047
16.84667,17.046
16.848528,17.046
16.84955,17.045
16.851416,17.044
16.85244,17.043
16.854305,17.043
16.85533,17.043
16.857197,17.043
16.85822,17.043
16.860086,17.043
16.862005,17.043
16.863035,17.043
16.864902,17.043
16.866823,17.043
16.86875,17.043
16.870676,17.043
16.871706,17.043
16.873575,17.043
16.875496,17.043
16.877422,17.043
16.879349,17.043
16.881277,17.043
16.883205,17.043
16.885132,17.043
16.88796,17.043
16.889944,17.044
16.891878,17.046
16.893806,17.048
16.895735,17.049
16.897663,17.051
16.900494,17.053
16.902477,17.054
16.904411,17.056
16.90634,17.058
16.908268,17.06
16.910196,17.061
16.912125,17.063
16.914053,17.065
16.915983,17.066
16.918816,17.068
