,mean_Wind1VelX,mean_GenPwr,DEL_4_TwrBsMyt,DEL_4_RotTorq,DEL_10_RootMyb1,Overshoot_GenSpeed,Travel_BldPitch1,max_GenTq
SimulationResults_FeedbackOnly\URef_04_Seed_01.outb,3.9999545736898074,680.741323769719,385472.05589572515,2308.174135879546,17332.77717622389,0.0,1.8918402194976673,2561.572265625
SimulationResults_FeedbackOnly\URef_04_Seed_02.outb,3.9999961539693496,701.9279277366647,392156.5752656401,2500.3054254375947,17225.06835018566,0.0,2.2480540275607437,2989.96240234375
SimulationResults_FeedbackOnly\URef_04_Seed_03.outb,4.00003044805448,708.7610243334404,415252.8336770736,3137.3609658449254,18421.094649898117,0.0,2.645908713342855,3601.874755859375
SimulationResults_FeedbackOnly\URef_04_Seed_04.outb,3.9999988462420264,719.7535545053473,300836.56406256964,2851.8215689303765,17085.66019155488,0.0,2.3148248195648073,3359.87255859375
SimulationResults_FeedbackOnly\URef_04_Seed_05.outb,4.000018244106823,696.890883202836,376563.7583084089,2661.752173216562,18276.938444954543,0.0,1.788566350936902,3032.0927734375
SimulationResults_FeedbackOnly\URef_04_Seed_06.outb,4.000065552380357,683.0215645975248,396163.2605824099,2372.398331647744,16464.090698237236,0.0,1.940687298779151,2675.32666015625
SimulationResults_FeedbackOnly\URef_06_Seed_01.outb,5.999999669017336,2865.305568117233,395299.8220641063,6116.124105051988,29661.17548323074,0.0,14.823003328973796,9643.4560546875
SimulationResults_FeedbackOnly\URef_06_Seed_02.outb,6.000048456699937,2878.8208067523983,383832.160208768,6878.506991836397,30326.05450771429,0.0,14.812071055042878,10976.26953125
SimulationResults_FeedbackOnly\URef_06_Seed_03.outb,5.999994153089939,2879.9954007229544,355711.82031041215,7049.9713281486975,27536.35096517874,0.0,15.60920694792368,9523.154296875
SimulationResults_FeedbackOnly\URef_06_Seed_04.outb,6.000007193276431,2841.2937768666075,381793.6325449072,4736.371036252613,23634.62154456295,0.0,12.620992526410891,9351.21484375
SimulationResults_FeedbackOnly\URef_06_Seed_05.outb,5.999982265052129,2896.957949218699,431184.5215509846,6414.742475918109,25705.599587615063,0.0,13.858402772154498,9661.701171875
SimulationResults_FeedbackOnly\URef_06_Seed_06.outb,6.000041347869111,2896.164784485081,315056.6442488194,6778.396676291157,27538.235641927655,0.0,16.120231160675793,9901.953125
SimulationResults_FeedbackOnly\URef_08_Seed_01.outb,8.00000090344355,6922.3793006001015,298041.335939273,11599.011403544371,49702.50234515567,0.050311129464206024,12.075648497542714,19786.771484375
SimulationResults_FeedbackOnly\URef_08_Seed_02.outb,8.000013014095103,6749.9514228259895,363438.261173608,7685.021092577942,42845.79137846269,0.0,2.21995388012604,15040.1376953125
SimulationResults_FeedbackOnly\URef_08_Seed_03.outb,8.00000753459532,6748.117397736302,317773.3119119383,7764.236096990576,39484.36664442769,0.0,2.731579960189264,14760.6494140625
SimulationResults_FeedbackOnly\URef_08_Seed_04.outb,7.999978978535386,6748.259066303835,382743.6679413402,6525.73577851367,35351.42105865793,0.0,1.7581153914416037,14462.06640625
SimulationResults_FeedbackOnly\URef_08_Seed_05.outb,7.9999650066831345,6802.441448515965,315154.1321083362,10177.443559718773,44178.86384137499,0.0,2.714432790780838,18577.46484375
SimulationResults_FeedbackOnly\URef_08_Seed_06.outb,7.9999796202256235,6754.00781606031,336297.0408653036,8669.975266733114,43368.45744438493,0.0,2.6823494111970385,17135.353515625
SimulationResults_FeedbackOnly\URef_10_Seed_01.outb,10.000005933737318,12263.03536425348,369374.3038653414,9002.751050893265,63515.39893085717,0.10963866640623089,108.15122299773066,19786.76953125
SimulationResults_FeedbackOnly\URef_10_Seed_02.outb,10.000066006517155,12483.624771580686,325845.4423964679,7442.227575398459,57407.794736769894,0.124143875633942,60.944746653116454,19786.76953125
SimulationResults_FeedbackOnly\URef_10_Seed_03.outb,9.999989260966792,12563.692136896807,368308.115955347,7964.008377840491,53072.16148355965,0.08335644233940977,71.57068506338514,19786.76953125
SimulationResults_FeedbackOnly\URef_10_Seed_04.outb,10.000061961452737,12029.790619810085,362546.31161193067,7141.805090963106,60840.86322109541,0.15692547692781803,94.28033158788459,19786.76953125
SimulationResults_FeedbackOnly\URef_10_Seed_05.outb,9.99999949138926,12149.151886362068,373174.74210466543,8183.573290532943,55165.00306212152,0.16030635905705032,71.64314451235263,19786.76953125
SimulationResults_FeedbackOnly\URef_10_Seed_06.outb,9.999979327553046,12045.139441512287,328988.7774541201,8172.258001630878,52816.52738428357,0.10349174560502097,75.81174898224346,19786.76953125
SimulationResults_FeedbackOnly\URef_12_Seed_01.outb,12.00001919227591,14791.462997190163,493733.26905915886,3377.9109150176982,76030.3025283632,0.17756524449083622,265.4202477269046,19786.76953125
SimulationResults_FeedbackOnly\URef_12_Seed_02.outb,12.000068688332538,14828.886589093685,397498.63705739554,3141.2138839881427,73052.96645328758,0.1600829516375185,207.04266916858626,19786.76953125
SimulationResults_FeedbackOnly\URef_12_Seed_03.outb,12.000034089242515,14828.933710751957,503135.54363875714,3083.4744080635223,81536.97019034471,0.16995097467551387,244.31363179286905,19786.76953125
SimulationResults_FeedbackOnly\URef_12_Seed_04.outb,11.999935050559133,14782.698778024318,424720.0458860837,3911.6673890259412,69040.94192570596,0.16602235961821457,238.49690862085856,19786.76953125
SimulationResults_FeedbackOnly\URef_12_Seed_05.outb,12.000029239303675,14834.835470916296,324728.4866475428,3275.3065844552757,62753.691400866635,0.10016952211502228,176.25666258402634,19786.76953125
SimulationResults_FeedbackOnly\URef_12_Seed_06.outb,12.00007905189411,14695.816759453091,357339.6643775628,3604.96295429463,66054.85973528244,0.12971909546094643,180.67923137457547,19786.76953125
SimulationResults_FeedbackOnly\URef_14_Seed_01.outb,14.000053309502222,14970.687334537139,348275.4526966587,2616.6332720755563,76046.41742350972,0.12141227525983694,153.60886389017128,19786.76953125
SimulationResults_FeedbackOnly\URef_14_Seed_02.outb,13.99996428487599,14983.569073959723,425152.7492532144,1118.3343260222387,75627.90788488547,0.1591912141735605,177.20370852947244,19786.76953125
