,mean_Wind1VelX,mean_GenPwr,DEL_4_TwrBsMyt,DEL_4_RotTorq,DEL_10_RootMyb1,Overshoot_GenSpeed,Travel_BldPitch1,max_GenTq
SimulationResults_LAC_CircularCW\URef_04_Seed_01.outb,3.9999545736898074,680.741323769719,385472.05589572515,2308.174135879546,17332.77717622389,0.0,1.8918402194976673,2561.572265625
SimulationResults_LAC_CircularCW\URef_04_Seed_02.outb,3.9999961539693496,701.9279277366647,392156.5752656401,2500.3054254375947,17225.06835018566,0.0,2.2480540275607437,2989.96240234375
SimulationResults_LAC_CircularCW\URef_04_Seed_03.outb,4.00003044805448,708.7610243334404,415252.8336770736,3137.3609658449254,18421.094649898117,0.0,2.645908713342855,3601.874755859375
SimulationResults_LAC_CircularCW\URef_04_Seed_04.outb,3.9999988462420264,719.7535545053473,300836.56406256964,2851.8215689303765,17085.66019155488,0.0,2.3148248195648073,3359.87255859375
SimulationResults_LAC_CircularCW\URef_04_Seed_05.outb,4.000018244106823,696.890883202836,376563.7583084089,2661.752173216562,18276.938444954543,0.0,1.788566350936902,3032.0927734375
SimulationResults_LAC_CircularCW\URef_04_Seed_06.outb,4.000065552380357,683.0215645975248,396163.2605824099,2372.398331647744,16464.090698237236,0.0,1.940687298779151,2675.32666015625
SimulationResults_LAC_CircularCW\URef_06_Seed_01.outb,5.999999669017336,2865.305568117233,395299.8220641063,6116.124105051988,29661.17548323074,0.0,14.823003328973796,9643.4560546875
SimulationResults_LAC_CircularCW\URef_06_Seed_02.outb,6.000048456699937,2878.8208067523983,383832.160208768,6878.506991836397,30326.05450771429,0.0,14.812071055042878,10976.26953125
SimulationResults_LAC_CircularCW\URef_06_Seed_03.outb,5.999994153089939,2879.9954007229544,355711.82031041215,7049.9713281486975,27536.35096517874,0.0,15.60920694792368,9523.154296875
SimulationResults_LAC_CircularCW\URef_06_Seed_04.outb,6.000007193276431,2841.2937768666075,381793.6325449072,4736.371036252613,23634.62154456295,0.0,12.620992526410891,9351.21484375
SimulationResults_LAC_CircularCW\URef_06_Seed_05.outb,5.999982265052129,2896.957949218699,431184.5215509846,6414.742475918109,25705.599587615063,0.0,13.858402772154498,9661.701171875
SimulationResults_LAC_CircularCW\URef_06_Seed_06.outb,6.000041347869111,2896.164784485081,315056.6442488194,6778.396676291157,27538.235641927655,0.0,16.120231160675793,9901.953125
SimulationResults_LAC_CircularCW\URef_08_Seed_01.outb,8.00000090344355,6922.98862581171,296828.889246635,11601.174720531239,48060.88740228314,0.04807503690710858,12.071704378765162,19786.76953125
SimulationResults_LAC_CircularCW\URef_08_Seed_02.outb,8.000013014095103,6749.9514228259895,363438.261173608,7685.021092577942,42845.79137846269,0.0,2.21995388012604,15040.1376953125
SimulationResults_LAC_CircularCW\URef_08_Seed_03.outb,8.00000753459532,6748.117397736302,317773.3119119383,7764.236096990576,39484.36664442769,0.0,2.731579960189264,14760.6494140625
SimulationResults_LAC_CircularCW\URef_08_Seed_04.outb,7.999978978535386,6748.259066303835,382743.6679413402,6525.73577851367,35351.42105865793,0.0,1.7581153914416037,14462.06640625
SimulationResults_LAC_CircularCW\URef_08_Seed_05.outb,7.9999650066831345,6802.441448515965,315154.1321083362,10177.443559718773,44178.86384137499,0.0,2.714432790780838,18577.46484375
SimulationResults_LAC_CircularCW\URef_08_Seed_06.outb,7.9999796202256235,6754.00781606031,336297.0408653036,8669.975266733114,43368.45744438493,0.0,2.6823494111970385,17135.353515625
SimulationResults_LAC_CircularCW\URef_10_Seed_01.outb,10.000005933737318,12342.655320881173,334522.89144025644,8970.028002542282,59009.27660392177,0.10205315824627462,96.43823288933156,19786.76953125
SimulationResults_LAC_CircularCW\URef_10_Seed_02.outb,10.000066006517155,12499.653587813844,318319.55844869325,7419.9824250554575,55718.474908617485,0.1083216853447337,53.42648213384388,19786.76953125
SimulationResults_LAC_CircularCW\URef_10_Seed_03.outb,9.999989260966792,12597.45763913732,360603.17907750385,7975.149987004914,53449.609993752674,0.07347353388328627,63.059586786228515,19786.76953125
SimulationResults_LAC_CircularCW\URef_10_Seed_04.outb,10.000061961452737,12053.440124436698,336310.4865761954,7161.575501074684,57204.1731771218,0.1329788758833743,72.8778511087003,19786.76953125
SimulationResults_LAC_CircularCW\URef_10_Seed_05.outb,9.99999949138926,12194.169857657182,352290.3237893492,8199.795291370552,56252.8679242269,0.12852056700641734,69.03546120661115,19786.76953125
SimulationResults_LAC_CircularCW\URef_10_Seed_06.outb,9.999979327553046,12071.73459386751,320427.173425772,8168.881195396964,56514.913032339246,0.07449078822044264,72.79550552880762,19786.76953125
SimulationResults_LAC_CircularCW\URef_12_Seed_01.outb,12.00001919227591,14830.438343671389,363639.35889418476,2633.475789083184,63252.07088380336,0.10651764835618298,195.26102134177196,19786.76953125
SimulationResults_LAC_CircularCW\URef_12_Seed_02.outb,12.000068688332538,14871.387986464475,350947.1908083596,1797.3677858447102,70687.53566254121,0.096668169017042,159.27377466083277,19786.76953125
SimulationResults_LAC_CircularCW\URef_12_Seed_03.outb,12.000034089242515,14877.988657666312,418190.57485888357,2282.06773246516,70797.13921605614,0.12564755516009574,207.17026684236768,19786.767578125
SimulationResults_LAC_CircularCW\URef_12_Seed_04.outb,11.999935050559133,14871.781259948522,335691.9689781186,2347.4197359824743,61636.48809870572,0.1194943269783233,171.61162341402806,19786.76953125
SimulationResults_LAC_CircularCW\URef_12_Seed_05.outb,12.000029239303675,14892.72424215446,316226.9042679082,1639.0160879562297,60722.46078844743,0.07694726065440168,163.5308571893803,19786.76953125
SimulationResults_LAC_CircularCW\URef_12_Seed_06.outb,12.00007905189411,14748.542776249127,292339.7558955592,3037.1898471868353,60913.39606705921,0.0721759795539224,148.271598787338,19786.76953125
SimulationResults_LAC_CircularCW\URef_14_Seed_01.outb,14.000053309502222,14992.514286038637,250124.7451960947,918.1766335243489,57418.1301064271,0.059032155346869696,108.37232875823975,19786.76953125
SimulationResults_LAC_CircularCW\URef_14_Seed_02.outb,13.99996428487599,14988.894263412969,258321.42979048245,821.0742845612822,56596.32240094076,0.055213667154195845,104.08966779708868,19786.76953125
SimulationResults_LAC_CircularCW\URef_14_Seed_03.outb,13.999998525292602,14990.198023869294,254597.3509876741,830.7064569058522,61803.954217090315,0.05542628895296535,100.67133951187134,19786.76953125
SimulationResults_LAC_CircularCW\URef_14_Seed_04.outb,14.000048716026892,14983.257779155154,281736.0984730143,828.69534406789,58903.61414219696,0.07266517999036734,112.54045295715332,19786.76953125
SimulationResults_LAC_CircularCW\URef_14_Seed_05.outb,14.000063977061018,14989.42722978753,250377.1137453012,693.0991684932351,53518.56181437177,0.06582949323170792,99.2669129371646,19786.76953125
SimulationResults_LAC_CircularCW\URef_14_Seed_06.outb,13.999928542473487,14983.926715312571,275163.0930009115,787.2208615756887,61114.12387066338,0.08876678723850431,117.96952486038222,19786.76953125
SimulationResults_LAC_CircularCW\URef_16_Seed_01.outb,15.99989078032027,14992.444080714138,265421.78516355105,899.7230944488194,61996.08561410994,0.07485976998336212,73.3087434768681,19786.76953125
SimulationResults_LAC_CircularCW\URef_16_Seed_02.outb,16.00005193009073,14990.369316260176,247334.986772735,920.9742607851427,60514.37978574462,0.06365117628056499,94.11548376083363,19786.76953125
SimulationResults_LAC_CircularCW\URef_16_Seed_03.outb,16.000006405855874,14990.22497897586,240644.68554965567,920.3979838265795,58187.45484032122,0.07386522221623153,87.16387033462532,19786.76953125
SimulationResults_LAC_CircularCW\URef_16_Seed_04.outb,15.99996369944143,14989.63276955249,270222.8667158109,999.7868243926924,62281.95560436429,0.06771249862490396,83.93836879730236,19786.76953125
SimulationResults_LAC_CircularCW\URef_16_Seed_05.outb,16.000030446391794,14989.799307953057,272798.3629584183,1049.1858144612604,66460.74465612184,0.06681445378038312,89.52335739135752,19786.76953125
SimulationResults_LAC_CircularCW\URef_16_Seed_06.outb,16.000024208398973,14986.463902607498,241887.8645444455,887.8831860536183,59441.75046236682,0.07402416820641208,87.48294115066538,19786.76953125
SimulationResults_LAC_CircularCW\URef_18_Seed_01.outb,18.00006854103266,14987.521502379996,302606.88507777057,1079.4908883582962,68007.90146854242,0.06897725457534176,87.30327129364038,19786.76953125
SimulationResults_LAC_CircularCW\URef_18_Seed_02.outb,17.999898437609193,14985.49892053437,260385.68941609992,959.1600852783334,65886.1267608709,0.07474295729534038,87.5064043998722,19786.76953125
SimulationResults_LAC_CircularCW\URef_18_Seed_03.outb,17.999958305909622,14990.337098038974,276333.0001154185,1025.5172608364562,67090.79878496916,0.07307036611771674,87.39818000793468,19786.76953125
SimulationResults_LAC_CircularCW\URef_18_Seed_04.outb,18.000007731276614,14990.706356479715,284137.3902186896,1015.5723689421854,63899.43982380873,0.0600404532036271,87.26942968368529,19786.76953125
SimulationResults_LAC_CircularCW\URef_18_Seed_05.outb,18.000121805355505,14992.915966452034,268291.4749147295,1083.132651590173,71649.51334540598,0.06618131891949673,89.26457595825218,19786.76953125
SimulationResults_LAC_CircularCW\URef_18_Seed_06.outb,18.000002130563377,14992.703769660235,263165.3128169979,926.7709247520885,64346.488169707445,0.07747935127867325,79.5717186927798,19786.76953125
SimulationResults_LAC_CircularCW\URef_20_Seed_01.outb,19.999913912699007,14993.889679747883,313379.52335472126,1171.6422763890582,68412.85906773516,0.05559576826868569,75.38123416900652,19786.76953125
SimulationResults_LAC_CircularCW\URef_20_Seed_02.outb,19.999948384406622,14986.579360508927,302248.2003737202,1117.3341395627097,72066.148831658,0.06347797561031258,86.25718402862564,19786.76953125
SimulationResults_LAC_CircularCW\URef_20_Seed_03.outb,19.999940795621878,14993.563473327704,329871.4331767465,1257.207246711803,73084.55721928798,0.06319603569915871,89.52076053619396,19786.76953125
SimulationResults_LAC_CircularCW\URef_20_Seed_04.outb,19.999986395423917,14998.864721792092,335502.4268069226,1113.336443808914,72836.8624614773,0.08174932177202715,76.40761089324998,19786.76953125
SimulationResults_LAC_CircularCW\URef_20_Seed_05.outb,19.999990352235564,14993.08841490607,278709.7249004025,1061.4516738759442,67146.74487772821,0.054338455027312035,81.9312434196475,19786.76953125
SimulationResults_LAC_CircularCW\URef_20_Seed_06.outb,20.000099698234774,14989.629472725828,323571.75265962305,1168.240631343517,70854.33294411302,0.05406786840117106,92.51991462707525,19786.76953125
SimulationResults_LAC_CircularCW\URef_22_Seed_01.outb,21.999996520889763,14990.949563042144,341160.34083561844,1261.9668723137152,75536.46890337775,0.07575718408982667,92.66554069519037,19786.76953125
SimulationResults_LAC_CircularCW\URef_22_Seed_02.outb,21.999921634021852,14989.157901821056,362680.75118423236,1233.9876134031106,76648.56007077497,0.08350353045413254,99.84304809570318,19786.76953125
SimulationResults_LAC_CircularCW\URef_22_Seed_03.outb,22.000015091740593,14992.291812951325,304794.0012295958,1199.605241255168,83178.34515873213,0.068936256601684,97.70197772979762,19786.76953125
SimulationResults_LAC_CircularCW\URef_22_Seed_04.outb,22.000025920308044,14987.25845858436,321322.1110451429,1203.8229631010956,72132.66734495547,0.06998845382715799,95.46833324432377,19786.76953125
SimulationResults_LAC_CircularCW\URef_22_Seed_05.outb,22.000001420627243,14992.398748955913,319536.268158961,1222.9383910699892,77516.31285478956,0.07970913645520804,97.94106006622339,19786.76953125
SimulationResults_LAC_CircularCW\URef_22_Seed_06.outb,22.00009273282215,14996.641710609707,314413.94841428724,1214.3995732987064,77541.75845588259,0.06764652342421776,93.94183063507079,19786.76953125
SimulationResults_LAC_CircularCW\URef_24_Seed_01.outb,24.000045094881745,14994.797458524627,367308.7804820047,1350.9338128251954,82339.19009189571,0.07992497501806443,106.07383155822731,19786.76953125
SimulationResults_LAC_CircularCW\URef_24_Seed_02.outb,24.000030916305022,14997.654562453778,374124.39457474364,1261.747503327444,82470.41606465504,0.06608948345850342,98.10824489593557,19786.76953125
SimulationResults_LAC_CircularCW\URef_24_Seed_03.outb,24.00019684280148,14996.068422545071,335429.83766701614,1274.0582065316007,84998.24372103243,0.07949783920635682,96.9139232635497,19786.76953125
SimulationResults_LAC_CircularCW\URef_24_Seed_04.outb,24.00005739009027,14988.242752165157,356939.21830503456,1228.1040220745351,80902.39571981602,0.07092320762655378,106.11952018737803,19786.76953125
SimulationResults_LAC_CircularCW\URef_24_Seed_05.outb,23.9999916822259,14984.529312397952,360322.0356645887,1333.1450640315863,87518.63260132408,0.09775757978783599,102.88868427276594,19786.76953125
SimulationResults_LAC_CircularCW\URef_24_Seed_06.outb,23.999953050419293,14993.839314830355,350999.90751623677,1308.9532263885726,84795.97767700485,0.06768159246014663,89.77796936035152,19786.76953125
